2020-05-23 10:50:53.619 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [Ansin.web.ansinWeb.AnsinWebApplicationTests], using SpringBootContextLoader
2020-05-23 10:50:53.628 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [Ansin.web.ansinWeb.AnsinWebApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-23 10:50:53.635 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [Ansin.web.ansinWeb.AnsinWebApplicationTests]: AnsinWebApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-05-23 10:50:53.859 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration Ansin.web.AnsinWebApplication for test class Ansin.web.ansinWeb.AnsinWebApplicationTests
2020-05-23 10:50:54.087 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-05-23 10:50:54.120 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@24105dc5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5167f57d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@64b0598, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@18f8cd79, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3e2055d6, org.springframework.test.context.transaction.TransactionalTestExecutionListener@50029372, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@e3b3b2f, org.springframework.test.context.event.EventPublishingTestExecutionListener@50f6ac94, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6cc4cdb9, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@28194a50, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7f2cfe3f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1a5b6f42, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5038d0b5]
2020-05-23 10:50:54.622 [main] INFO  Ansin.web.ansinWeb.AnsinWebApplicationTests - Starting AnsinWebApplicationTests on LAPTOP-P47LA936 with PID 10228 (started by rokenu in C:\eclipse\ansinWeb-workspace\ansinWeb)
2020-05-23 10:50:54.624 [main] INFO  Ansin.web.ansinWeb.AnsinWebApplicationTests - No active profile set, falling back to default profiles: default
2020-05-23 10:50:57.046 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-23 10:50:57.943 [main] INFO  Ansin.web.ansinWeb.AnsinWebApplicationTests - Started AnsinWebApplicationTests in 3.733 seconds (JVM running for 5.785)
2020-05-23 10:50:58.544 [SpringContextShutdownHook] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
